Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
694,33.0,Self Enquiry,0,6.0,Salaried,1,1,3,1,0,3,1.0,0,3,0,0,Manager,21949.0
837,40.0,Company Invited,0,15.0,Small Business,0,1,2,3,0,3,1.0,0,3,0,0,Senior Manager,28499.0
1852,26.0,Company Invited,0,9.0,Large Business,2,2,2,0,2,2,1.0,0,2,0,1,Executive,18102.0
1712,41.0,Self Enquiry,0,25.0,Salaried,2,1,2,1,2,1,3.0,0,0,0,0,Manager,18072.0
222,37.0,Company Invited,0,17.0,Salaried,2,1,2,3,0,1,2.0,1,2,0,1,Senior Manager,27185.0
2145,31.0,Self Enquiry,2,13.0,Salaried,2,1,3,0,0,1,4.0,0,3,1,1,Executive,17329.0
4867,45.0,Self Enquiry,2,8.0,Salaried,2,2,5,1,1,2,8.0,0,2,0,2,Manager,21040.0
514,33.0,Company Invited,0,9.0,Salaried,2,2,2,0,2,2,2.0,1,4,1,2,Executive,18348.0
2795,33.0,Self Enquiry,0,9.0,Small Business,1,3,3,0,1,0,3.0,0,3,0,1,Executive,21048.0
1074,33.0,Self Enquiry,0,14.0,Salaried,2,2,2,1,0,3,3.0,1,2,0,2,Manager,21388.0
402,30.0,Self Enquiry,2,18.0,Large Business,1,1,2,1,0,3,1.0,0,1,1,0,Manager,21577.0
547,42.0,Company Invited,0,25.0,Small Business,2,1,1,0,0,1,7.0,1,2,1,1,Executive,17759.0
1899,46.0,Self Enquiry,0,8.0,Salaried,2,1,2,4,0,1,7.0,0,4,1,0,AVP,32861.0
4656,51.0,Self Enquiry,0,16.0,Salaried,2,3,3,0,0,1,6.0,0,4,1,3,Executive,21058.0
1880,30.0,Self Enquiry,0,8.0,Salaried,1,1,4,1,0,2,3.0,0,0,1,0,Manager,21091.0
2742,37.0,Company Invited,0,25.0,Salaried,2,2,2,0,0,0,6.0,0,4,0,1,Executive,22366.0
1323,28.0,Company Invited,1,6.0,Salaried,2,1,2,0,0,1,2.0,0,3,0,1,Executive,17706.0
1357,42.0,Self Enquiry,0,12.0,Small Business,2,1,2,3,2,1,1.0,0,2,1,0,Senior Manager,28348.0
617,44.0,Self Enquiry,0,10.0,Small Business,2,1,2,1,1,2,1.0,0,1,1,0,Manager,20933.0
3637,39.0,Company Invited,0,9.0,Small Business,1,2,4,0,1,2,3.0,0,0,1,1,Executive,21118.0
253,42.0,Self Enquiry,0,23.0,Salaried,1,1,1,1,2,3,4.0,1,1,0,0,Manager,21545.0
2223,39.0,Company Invited,0,28.0,Small Business,0,1,2,3,2,3,2.0,1,4,1,1,Senior Manager,25880.0
944,28.0,Company Invited,0,6.0,Salaried,1,1,4,1,0,0,1.0,0,2,1,0,Manager,21674.0
2079,43.0,Self Enquiry,0,20.0,Salaried,2,2,2,4,2,1,7.0,0,4,1,1,AVP,32159.0
3372,45.0,Self Enquiry,0,22.0,Small Business,1,3,3,3,0,0,3.0,0,2,0,2,Senior Manager,26656.0
4382,53.0,Self Enquiry,0,13.0,Large Business,2,3,3,1,2,1,5.0,1,3,1,2,Manager,24255.0
4062,42.0,Self Enquiry,0,16.0,Salaried,2,3,3,0,2,1,4.0,0,0,0,1,Executive,20916.0
9,36.0,Self Enquiry,0,33.0,Small Business,2,2,2,1,0,0,7.0,0,2,1,0,Manager,20237.0
3259,22.0,Self Enquiry,0,7.0,Large Business,1,3,4,0,1,2,3.0,1,4,0,3,Executive,20748.0
2664,37.0,Self Enquiry,0,12.0,Salaried,2,3,3,1,1,3,2.0,0,1,0,3,Manager,24592.0
3501,30.0,Company Invited,2,20.0,Large Business,0,2,3,1,1,3,7.0,0,2,0,2,Manager,24443.0
3967,36.0,Company Invited,0,18.0,Small Business,2,3,4,3,2,1,4.0,1,4,1,3,Senior Manager,28562.0
186,40.0,Self Enquiry,0,10.0,Small Business,1,1,2,2,0,0,2.0,0,4,0,1,VP,34033.0
136,51.0,Company Invited,0,14.0,Salaried,2,1,4,3,0,3,3.0,0,1,0,1,Senior Manager,25650.0
3835,39.0,Self Enquiry,2,7.0,Salaried,2,2,4,0,2,3,6.0,0,2,0,2,Executive,21536.0
390,43.0,Self Enquiry,0,18.0,Salaried,2,1,3,4,1,1,2.0,0,2,0,1,AVP,29336.0
40,35.0,Self Enquiry,0,10.0,Salaried,2,2,2,0,0,1,2.0,0,3,0,0,Executive,16951.0
2695,40.0,Company Invited,0,9.0,Large Business,1,3,3,3,0,2,2.0,0,1,1,2,Senior Manager,29616.0
3753,27.0,Self Enquiry,2,17.0,Small Business,2,2,3,1,0,3,3.0,0,0,0,1,Manager,23362.0
762,26.0,Company Invited,0,8.0,Salaried,2,1,2,0,2,0,7.0,1,4,1,0,Executive,17042.0
119,43.0,Company Invited,2,32.0,Salaried,2,2,2,4,0,0,2.0,1,1,0,0,AVP,31959.0
3339,32.0,Self Enquiry,0,18.0,Small Business,2,3,3,1,2,0,3.0,1,1,0,3,Manager,25511.0
2560,35.0,Self Enquiry,0,12.0,Small Business,1,2,4,3,2,2,4.0,0,1,0,1,Senior Manager,30309.0
4135,34.0,Self Enquiry,0,11.0,Small Business,1,2,4,0,1,1,8.0,0,3,0,2,Executive,21300.0
1016,31.0,Self Enquiry,0,14.0,Salaried,1,1,3,0,1,2,2.0,0,3,0,1,Executive,16261.0
4748,35.0,Self Enquiry,2,16.0,Salaried,1,3,3,1,0,1,3.0,0,0,0,1,Manager,24392.0
4865,42.0,Company Invited,2,16.0,Salaried,2,2,5,4,0,1,2.0,0,4,1,2,AVP,24829.0
2030,34.0,Self Enquiry,0,14.0,Salaried,1,1,2,1,2,1,4.0,0,4,1,1,Manager,20121.0
2680,34.0,Self Enquiry,0,9.0,Salaried,1,2,3,0,2,0,2.0,0,2,1,1,Executive,21385.0
22,34.0,Self Enquiry,0,13.0,Salaried,0,1,2,3,1,3,1.0,0,2,1,0,Senior Manager,26994.0
2643,39.0,Self Enquiry,0,36.0,Large Business,2,2,3,1,0,0,5.0,0,1,0,2,Manager,24939.0
3965,29.0,Self Enquiry,0,12.0,Large Business,2,2,3,0,0,3,3.0,1,0,0,1,Executive,22119.0
1288,35.0,Company Invited,0,8.0,Small Business,2,1,2,1,0,1,3.0,0,2,0,1,Manager,20762.0
293,26.0,Self Enquiry,2,10.0,Small Business,2,1,3,1,0,2,2.0,1,1,1,1,Manager,20828.0
2562,37.0,Self Enquiry,0,10.0,Salaried,1,2,3,0,0,1,7.0,0,1,1,1,Executive,21513.0
3734,35.0,Company Invited,0,16.0,Salaried,2,3,3,1,2,1,6.0,0,2,0,2,Manager,24024.0
4727,40.0,Company Invited,0,9.0,Salaried,2,2,3,4,0,1,2.0,0,2,1,1,AVP,30847.0
363,33.0,Self Enquiry,2,11.0,Small Business,1,1,2,0,0,2,2.0,1,1,1,0,Executive,17851.0
642,38.0,Self Enquiry,2,15.0,Small Business,2,2,3,0,1,0,1.0,0,3,0,0,Executive,17899.0
4794,33.0,Company Invited,0,20.0,Salaried,1,3,4,0,1,1,3.0,0,4,1,1,Executive,21421.0
589,29.0,Self Enquiry,0,6.0,Salaried,1,1,3,0,2,0,2.0,1,1,0,0,Executive,17319.0
4504,34.0,Self Enquiry,0,14.0,Small Business,2,2,3,3,0,1,2.0,0,3,1,1,Senior Manager,30369.0
3314,36.0,Self Enquiry,2,24.0,Salaried,2,3,3,1,2,0,5.0,1,2,1,2,Manager,27644.0
86,23.0,Self Enquiry,2,8.0,Large Business,2,2,2,0,2,1,4.0,0,2,1,1,Executive,17322.0
2855,61.0,Self Enquiry,0,14.0,Salaried,1,2,3,2,2,0,7.0,0,4,0,1,VP,38244.0
2384,55.0,Company Invited,2,8.0,Salaried,0,1,3,0,0,2,1.0,0,4,0,0,Executive,28577.0
2871,61.0,Company Invited,2,35.0,Small Business,1,3,4,3,2,0,6.0,0,1,1,1,Senior Manager,28944.0
4245,28.0,Company Invited,2,7.0,Small Business,2,3,3,1,1,1,2.0,1,0,0,2,Manager,25027.0
1536,36.0,Company Invited,0,17.0,Salaried,2,2,3,1,1,3,2.0,0,3,1,1,Manager,21499.0
2902,41.0,Company Invited,2,35.0,Salaried,2,2,5,3,2,1,5.0,0,4,1,1,Senior Manager,29610.0
2766,33.0,Self Enquiry,0,9.0,Small Business,0,3,2,1,0,3,2.0,0,2,1,3,Manager,23733.0
1455,40.0,Self Enquiry,0,8.0,Salaried,2,1,3,0,0,2,3.0,0,4,0,1,Executive,17809.0
2863,31.0,Company Invited,0,10.0,Salaried,2,2,3,0,0,0,6.0,0,2,0,2,Executive,20775.0
4595,39.0,Self Enquiry,0,7.0,Large Business,1,3,3,3,2,1,3.0,0,3,1,2,Senior Manager,32260.0
2250,28.0,Company Invited,0,30.0,Large Business,2,2,3,3,2,3,2.0,0,0,1,1,Senior Manager,23722.0
3516,30.0,Company Invited,0,9.0,Salaried,1,3,3,0,1,0,2.0,0,4,0,3,Executive,21858.0
627,52.0,Company Invited,0,31.0,Small Business,1,1,3,4,0,0,4.0,0,4,0,1,AVP,28826.0
2814,22.0,Self Enquiry,2,19.0,Salaried,1,2,2,0,1,3,3.0,0,4,0,2,Executive,21394.0
1809,27.0,Self Enquiry,2,14.0,Small Business,1,1,2,1,1,1,2.0,0,0,0,1,Manager,21214.0
4771,45.0,Self Enquiry,0,17.0,Salaried,2,3,3,0,0,3,3.0,1,2,1,1,Executive,21614.0
2412,36.0,Self Enquiry,2,16.0,Small Business,2,1,3,3,2,1,1.0,0,4,0,0,Senior Manager,22094.0
333,43.0,Self Enquiry,0,13.0,Salaried,1,1,2,3,2,0,1.0,0,4,1,0,Senior Manager,24985.0
927,36.0,Self Enquiry,0,8.0,Salaried,1,1,2,1,1,2,1.0,1,2,1,0,Manager,20410.0
187,55.0,Self Enquiry,0,20.0,Small Business,2,2,1,2,1,2,1.0,0,1,0,2,VP,33722.0
1354,56.0,Self Enquiry,0,30.0,Salaried,2,2,2,0,0,2,2.0,0,2,0,0,Executive,17587.0
281,42.0,Self Enquiry,2,6.0,Salaried,2,1,2,1,0,0,2.0,0,2,1,0,Manager,19907.0
2053,34.0,Self Enquiry,2,14.0,Salaried,1,2,2,1,2,1,6.0,0,0,1,2,Manager,21500.0
1557,51.0,Self Enquiry,0,15.0,Salaried,2,2,2,0,0,1,4.0,0,2,1,0,Executive,17075.0
2581,40.0,Self Enquiry,2,11.0,Salaried,1,2,4,1,0,0,6.0,0,4,1,1,Manager,24580.0
3014,53.0,Company Invited,0,26.0,Small Business,2,2,3,0,0,0,2.0,0,2,1,1,Executive,22936.0
2573,50.0,Self Enquiry,0,27.0,Small Business,1,3,3,1,2,0,3.0,0,1,1,3,Manager,25245.0
540,28.0,Self Enquiry,0,6.0,Salaried,1,2,4,0,1,2,1.0,1,1,1,0,Executive,17216.0
3072,38.0,Self Enquiry,2,23.0,Small Business,2,3,4,1,0,1,6.0,0,4,1,3,Manager,25012.0
1599,49.0,Self Enquiry,0,26.0,Small Business,1,2,2,1,2,1,2.0,0,0,1,0,Manager,21567.0
3449,30.0,Self Enquiry,1,24.0,Salaried,2,2,4,3,2,3,3.0,0,2,0,1,Senior Manager,26666.0
16,32.0,Self Enquiry,0,11.0,Salaried,2,2,1,0,1,1,1.0,1,1,1,0,Executive,18298.0
3025,31.0,Self Enquiry,0,7.0,Salaried,2,2,5,0,0,0,5.0,0,3,1,1,Executive,22511.0
4590,36.0,Self Enquiry,0,28.0,Salaried,1,2,3,1,0,1,3.0,1,2,0,1,Manager,22692.0
457,18.0,Company Invited,2,11.0,Small Business,2,2,2,0,1,2,2.0,1,3,1,2,Executive,16878.0
1726,42.0,Self Enquiry,0,8.0,Small Business,1,1,3,0,2,1,1.0,1,3,1,1,Executive,17593.0
4294,25.0,Self Enquiry,2,17.0,Small Business,1,3,3,1,0,1,3.0,1,0,0,1,Manager,22938.0
1308,38.0,Self Enquiry,2,8.0,Small Business,1,2,4,1,0,1,3.0,1,2,0,0,Manager,20405.0
3237,29.0,Self Enquiry,0,22.0,Salaried,2,2,3,0,0,1,3.0,0,3,1,2,Executive,20885.0
4318,29.0,Self Enquiry,0,24.0,Small Business,2,3,3,1,2,1,3.0,0,0,0,2,Manager,23236.0
1485,29.0,Self Enquiry,0,27.0,Salaried,1,1,0,3,2,1,2.0,0,4,1,1,Senior Manager,24980.0
1784,39.0,Self Enquiry,0,16.0,Small Business,2,2,2,4,2,1,2.0,1,2,1,2,AVP,32068.0
1799,47.0,Self Enquiry,0,11.0,Salaried,2,1,2,2,0,1,5.0,0,0,1,0,VP,33300.0
2980,61.0,Self Enquiry,2,23.0,Small Business,2,2,3,1,2,3,2.0,0,3,1,1,Manager,24083.0
3893,33.0,Self Enquiry,0,9.0,Large Business,2,3,3,0,2,2,3.0,0,0,1,2,Executive,21117.0
2045,54.0,Self Enquiry,0,25.0,Small Business,1,2,2,1,2,1,1.0,1,2,0,2,Manager,20485.0
2309,42.0,Self Enquiry,2,10.0,Small Business,2,1,2,1,2,2,1.0,0,4,1,0,Manager,20155.0
2788,36.0,Self Enquiry,0,12.0,Large Business,2,3,3,3,1,3,2.0,0,2,0,1,Senior Manager,26773.0
583,34.0,Self Enquiry,2,14.0,Salaried,1,2,2,1,2,0,6.0,0,1,1,0,Manager,21500.0
2486,27.0,Self Enquiry,0,32.0,Salaried,2,2,5,0,0,2,3.0,0,1,1,2,Executive,20971.0
1499,46.0,Self Enquiry,2,8.0,Small Business,1,1,2,2,2,2,4.0,0,0,1,1,VP,33947.0
3851,25.0,Self Enquiry,0,7.0,Salaried,2,2,4,1,0,3,3.0,0,2,1,2,Manager,23295.0
3852,24.0,Self Enquiry,0,19.0,Salaried,2,3,3,0,0,3,3.0,0,4,1,1,Executive,21325.0
1333,46.0,Self Enquiry,2,16.0,Salaried,1,2,2,3,1,1,6.0,0,0,0,2,Senior Manager,22314.0
2392,44.0,Self Enquiry,2,15.0,Salaried,2,2,3,0,2,1,4.0,0,0,1,2,Executive,34190.0
709,31.0,Company Invited,0,15.0,Small Business,2,1,3,0,2,2,1.0,1,2,1,0,Executive,17321.0
366,41.0,Company Invited,2,10.0,Small Business,2,1,2,1,1,3,2.0,0,2,1,0,Manager,24355.0
4367,27.0,Company Invited,1,24.0,Salaried,1,2,3,0,0,1,2.0,1,4,0,2,Executive,21419.0
1522,44.0,Self Enquiry,2,6.0,Small Business,1,2,2,1,2,1,6.0,1,0,1,1,Manager,20454.0
3066,33.0,Self Enquiry,2,20.0,Salaried,2,3,3,1,0,1,4.0,0,1,0,1,Manager,23081.0
464,37.0,Self Enquiry,0,6.0,Large Business,1,1,2,3,0,3,5.0,0,4,1,1,Senior Manager,22491.0
1213,23.0,Self Enquiry,2,13.0,Salaried,2,1,2,0,0,1,2.0,1,0,1,0,Executive,17275.0
3393,40.0,Self Enquiry,0,25.0,Salaried,2,2,3,1,0,3,2.0,0,2,0,1,Manager,23212.0
3504,25.0,Company Invited,0,16.0,Small Business,2,2,3,0,2,3,4.0,1,2,0,2,Executive,21850.0
386,37.0,Self Enquiry,0,20.0,Salaried,1,2,2,0,2,1,2.0,0,3,1,0,Executive,18034.0
163,57.0,Self Enquiry,0,30.0,Salaried,2,1,1,3,0,1,4.0,1,3,1,1,Senior Manager,24439.0
1994,34.0,Self Enquiry,0,15.0,Small Business,0,1,3,3,1,3,2.0,0,0,1,0,Senior Manager,23621.0
909,19.0,Self Enquiry,0,31.0,Salaried,1,1,0,0,0,2,2.0,1,4,1,0,Executive,17994.0
1316,43.0,Company Invited,2,8.0,Salaried,2,2,2,1,0,1,2.0,0,2,1,2,Manager,20675.0
3505,25.0,Company Invited,2,20.0,Salaried,1,3,3,0,1,0,3.0,0,0,0,1,Executive,20711.0
3618,26.0,Company Invited,0,9.0,Salaried,2,3,1,1,0,1,3.0,0,0,0,2,Manager,23884.0
809,28.0,Self Enquiry,0,9.0,Small Business,1,2,2,3,1,1,1.0,0,3,0,0,Senior Manager,22655.0
2918,25.0,Self Enquiry,0,30.0,Small Business,2,2,2,0,0,0,3.0,1,3,0,2,Executive,21403.0
4172,52.0,Self Enquiry,0,7.0,Salaried,2,3,3,0,0,1,3.0,0,3,1,1,Executive,21401.0
3913,35.0,Self Enquiry,0,15.0,Small Business,2,2,1,1,0,1,4.0,0,2,0,2,Manager,23082.0
3107,22.0,Self Enquiry,0,25.0,Salaried,1,3,3,0,0,3,3.0,0,2,1,2,Executive,21371.0
3523,40.0,Self Enquiry,0,13.0,Salaried,0,2,3,3,1,3,6.0,0,2,0,2,Senior Manager,27054.0
3076,43.0,Company Invited,0,9.0,Small Business,2,2,3,0,0,2,7.0,1,1,0,2,Executive,21193.0
3303,30.0,Self Enquiry,0,22.0,Salaried,1,3,5,0,0,0,2.0,1,4,1,1,Executive,20846.0
1024,47.0,Self Enquiry,0,8.0,Small Business,1,1,2,4,0,0,4.0,0,4,1,0,AVP,32169.0
3051,50.0,Self Enquiry,2,18.0,Small Business,1,2,3,3,0,0,3.0,0,3,0,2,Senior Manager,26332.0
3394,32.0,Company Invited,2,9.0,Salaried,1,2,3,3,0,1,3.0,1,0,1,1,Senior Manager,28530.0
2943,34.0,Self Enquiry,2,15.0,Small Business,2,2,3,1,0,1,2.0,0,1,1,2,Manager,25782.0
3045,41.0,Company Invited,0,23.0,Small Business,2,2,4,1,0,3,8.0,0,4,1,2,Manager,23772.0
1338,30.0,Self Enquiry,2,15.0,Small Business,2,1,2,0,0,2,2.0,0,4,0,0,Executive,16081.0
4859,51.0,Company Invited,2,19.0,Salaried,2,2,3,1,0,2,5.0,1,2,1,2,Manager,35558.0
1369,28.0,Self Enquiry,2,19.0,Small Business,0,1,2,1,0,3,4.0,1,4,1,1,Manager,24854.0
3941,43.0,Self Enquiry,2,15.0,Small Business,2,2,3,1,1,1,2.0,0,2,1,1,Manager,25503.0
4722,30.0,Self Enquiry,0,35.0,Salaried,1,3,3,0,0,1,6.0,0,4,1,1,Executive,21192.0
3044,33.0,Self Enquiry,0,11.0,Salaried,1,3,4,1,0,0,3.0,0,3,1,1,Manager,24840.0
4538,54.0,Self Enquiry,2,14.0,Small Business,1,3,4,3,0,1,2.0,1,0,0,2,Senior Manager,29612.0
2111,32.0,Company Invited,2,11.0,Salaried,2,1,2,1,1,1,2.0,0,2,1,1,Manager,21524.0
3895,39.0,Self Enquiry,2,17.0,Salaried,1,3,3,1,0,1,3.0,0,3,0,3,Manager,24021.0
4856,37.0,Self Enquiry,2,17.0,Small Business,2,2,4,3,2,1,2.0,0,4,0,1,Senior Manager,25772.0
2789,24.0,Self Enquiry,0,33.0,Salaried,2,2,3,0,0,1,3.0,0,1,1,2,Executive,21582.0
3264,36.0,Company Invited,2,18.0,Small Business,2,2,3,1,0,1,3.0,0,4,0,1,Manager,23646.0
1199,36.0,Self Enquiry,0,32.0,Salaried,2,2,2,1,0,1,7.0,0,2,1,0,Manager,20347.0
39,33.0,Company Invited,2,6.0,Salaried,1,1,1,1,2,0,3.0,0,2,1,0,Manager,20376.0
2891,36.0,Self Enquiry,2,7.0,Small Business,2,2,3,1,0,0,2.0,0,2,1,1,Manager,23395.0
1695,59.0,Self Enquiry,0,9.0,Salaried,2,2,3,0,0,1,4.0,0,2,0,0,Executive,17177.0
3905,51.0,Self Enquiry,2,35.0,Small Business,2,2,4,3,2,1,6.0,1,4,0,1,Senior Manager,29532.0
2507,60.0,Self Enquiry,2,32.0,Salaried,0,2,3,3,2,3,2.0,0,2,1,1,Senior Manager,26315.0
2857,43.0,Company Invited,0,35.0,Large Business,1,2,4,1,0,0,2.0,0,2,0,1,Manager,23201.0
2839,44.0,Company Invited,0,28.0,Small Business,2,3,3,0,0,0,2.0,0,3,0,3,Executive,20936.0
3194,45.0,Self Enquiry,2,35.0,Small Business,1,2,1,4,0,0,5.0,1,1,1,2,AVP,31998.0
2848,29.0,Self Enquiry,0,24.0,Small Business,2,3,3,1,2,1,3.0,0,1,0,1,Manager,23236.0
4393,25.0,Company Invited,0,14.0,Salaried,1,2,3,0,0,1,3.0,1,3,0,1,Executive,21564.0
3168,25.0,Self Enquiry,0,24.0,Small Business,1,2,4,1,0,1,3.0,0,2,1,2,Manager,23055.0
2054,42.0,Company Invited,0,14.0,Salaried,2,2,2,2,0,1,2.0,0,4,1,1,VP,33430.0
1266,41.0,Self Enquiry,0,15.0,Salaried,2,2,2,0,2,1,2.0,0,4,1,1,Executive,17289.0
4857,47.0,Self Enquiry,2,22.0,Small Business,2,2,5,1,0,1,8.0,1,0,0,2,Manager,22101.0
1043,53.0,Self Enquiry,0,8.0,Small Business,2,1,0,4,1,2,5.0,0,0,1,0,AVP,31598.0
1767,35.0,Self Enquiry,2,22.0,Small Business,2,2,2,3,1,1,1.0,0,0,1,1,Senior Manager,23020.0
379,55.0,Self Enquiry,0,8.0,Salaried,1,2,2,4,0,2,3.0,1,4,0,1,AVP,31659.0
3925,30.0,Self Enquiry,0,22.0,Salaried,1,2,4,1,0,3,2.0,1,0,1,2,Manager,22871.0
410,30.0,Self Enquiry,0,8.0,Salaried,1,1,4,1,0,2,3.0,0,1,0,1,Manager,21091.0
1321,47.0,Self Enquiry,0,15.0,Salaried,1,2,2,0,0,2,5.0,0,2,1,0,Executive,17105.0
859,29.0,Self Enquiry,0,21.0,Salaried,1,2,4,0,0,0,1.0,1,4,1,0,Executive,17168.0
668,28.0,Self Enquiry,0,15.0,Small Business,1,2,2,0,0,1,6.0,0,2,1,1,Executive,17377.0
2382,26.0,Self Enquiry,0,13.0,Small Business,1,1,3,3,2,1,1.0,1,3,1,1,Senior Manager,17875.0
1540,59.0,Company Invited,2,6.0,Salaried,1,1,3,1,0,2,1.0,0,4,1,0,Manager,20473.0
2273,34.0,Company Invited,0,9.0,Salaried,2,1,3,0,0,1,4.0,0,0,0,0,Executive,17979.0
3204,54.0,Company Invited,2,9.0,Small Business,1,2,4,3,1,0,4.0,0,1,0,2,Senior Manager,26203.0
1963,44.0,Self Enquiry,1,6.0,Salaried,1,1,3,1,0,2,5.0,0,4,1,1,Manager,20985.0
3335,45.0,Self Enquiry,0,9.0,Salaried,1,3,1,0,0,0,3.0,0,3,1,1,Executive,20689.0
2653,47.0,Self Enquiry,0,7.0,Small Business,2,3,3,3,2,1,2.0,0,1,0,1,Senior Manager,28074.0
4776,45.0,Company Invited,0,24.0,Salaried,2,3,5,0,0,2,4.0,0,3,1,2,Executive,20968.0
3826,32.0,Company Invited,0,10.0,Small Business,2,2,3,0,2,1,3.0,1,0,0,1,Executive,21743.0
